tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
6tmzIxHREnZzKSDMm6CNNS,0.13,0.00924,6,-27.853,1,0.0448,0.988,0.909,0.0849,0.0369,77.307,1
6NsZucPvDbyARfXLgTpY9u,0.168,0.475,2,-5.732,1,0.0349,0.911,0.929,0.124,0.0523,98.286,1
1juisCcrVdwoLbDWyVvNrX,0.448,0.0052,4,-36.512,1,0.0564,0.995,0.88,0.0698,0.0398,62.171,1
6GDuB7BvASYD9JePYvOEX1,0.203,0.0641,5,-27.51,1,0.0529,0.972,0.94,0.101,0.0978,73.105,1
722VEAitQPDKYkTe3UDlZK,0.138,0.0509,4,-22.513,1,0.0431,0.941,0.926,0.109,0.0372,87.037,1
0kRB0hhG9KYXiokmqZehwn,0.186,0.183,2,-16.074,1,0.0369,0.925,0.821,0.0926,0.0661,86.283,1
4NqknSuLbtn77F73YzNVBf,0.23,0.0592,7,-23.594,1,0.0445,0.989,0.941,0.0906,0.103,89.965,1
2YarjDYjBJuH63dUIh9OWv,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,1
5776PanLfe9zLJMhDbMBgW,0.198,0.0899,4,-25.087,1,0.0448,0.949,0.924,0.15,0.0711,111.868,1
2fvBJs9DPL4a48x3tmgCWp,0.281,0.0135,2,-25.266,1,0.0453,0.986,0.904,0.367,0.17,103.0,1
1c6PEv6hW9thHOyVsdYyOX,0.145,0.0959,9,-21.955,1,0.0401,0.962,0.807,0.141,0.0587,102.628,1
4a2qoYY6xINDXtUOBFbJ6d,0.122,0.0182,2,-27.89,1,0.0383,0.967,0.834,0.0735,0.0473,77.59,1
67Qy8Hmw1xES1OLZqK7g4z,0.111,0.378,8,-14.899,1,0.0325,0.837,0.94,0.195,0.1,80.064,1
4ck9QU8ka0Q75w0rgXGHhj,0.0637,0.0655,3,-26.729,0,0.0471,0.989,0.96,0.113,0.0259,65.879,1
0PrAozo6AwJ0Ftatr3CfJt,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,1
3IRoeiTnEJ31WKMtcXShX1,0.393,0.0071,3,-31.748,1,0.0571,0.995,0.887,0.104,0.252,71.203,1
5TtmI9sfXw4VXco0PE21mV,0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,1
6B0ZlLf0p2s1Lwt3ivAXKy,0.398,0.00209,0,-39.959,1,0.0444,0.996,0.955,0.0813,0.0971,71.461,1
5bpuqZGiFbWyEFpHY8vJrZ,0.065,0.0125,5,-33.135,1,0.0467,0.967,0.00112,0.0756,0.0346,67.995,1
5k4Eagqnz3YKdMLjSSi0DD,0.16,0.0261,9,-33.263,0,0.0517,0.917,0.232,0.113,0.0305,88.549,1
36EnMgx9PmtnzUtmKwI63h,0.354,0.116,4,-28.692,0,0.0399,0.987,0.883,0.124,0.181,82.627,1
3tksAPm7RFbwHCaWt7NtDU,0.188,0.0246,10,-24.9,1,0.0371,0.995,0.84,0.0944,0.071,83.968,1
6IihP5ExawBf9ddqN5fO6k,0.374,0.0368,9,-28.556,0,0.0421,0.988,0.908,0.177,0.122,63.895,1
5epdIHbuEtHLzmCGWMw5RK,0.402,0.146,1,-19.768,0,0.0507,0.987,0.928,0.0967,0.0773,74.011,1
3SAhuaew7Hqkf7UdFGUg57,0.503,0.00705,1,-25.179,1,0.0687,0.995,0.939,0.0957,0.209,130.808,1
2WuYYACpbXgn41VaPN3IYs,0.107,0.0329,0,-29.429,1,0.0389,0.962,0.868,0.0932,0.0377,91.64,1
0HrKa62vpS5FmSLuAA2bnp,0.146,0.0405,5,-22.484,0,0.0406,0.988,0.176,0.104,0.0357,72.507,1
4wlNPczIullwvmwb4x0ltz,0.311,0.0253,2,-30.561,1,0.04,0.976,0.897,0.123,0.251,116.816,1
5WpGVggkaT3phJEwrVG3EC,0.116,0.0127,5,-31.623,1,0.0638,0.954,0.95,0.0969,0.0357,65.44,1
44q3YAjsga0wqkf1FgaKWu,0.362,0.00741,10,-31.873,1,0.0418,0.991,0.918,0.0824,0.0412,98.545,1
67t8oxxVA0TB5LrKTY0vtq,0.359,0.0246,8,-28.776,1,0.046,0.983,0.746,0.11,0.0968,111.53,1
3yNHtmi0SbMzzdwVrFg98i,0.0994,0.121,7,-17.763,1,0.0433,0.793,0.827,0.335,0.0378,89.428,1
3FNX30Vi6mtTq9nUUzndLz,0.162,0.0669,5,-21.458,1,0.0448,0.943,0.607,0.131,0.04,81.937,1
5mRrklQD0rvuN6sV10HfPn,0.326,0.0993,7,-22.496,1,0.072,0.988,0.916,0.108,0.417,137.274,1
6FYKa4W0px93kMLCER3xuw,0.214,0.128,2,-19.714,1,0.0458,0.781,0.675,0.122,0.0524,127.208,1
6lcJu30W4lLZDJICLRjzPQ,0.169,0.0612,3,-22.327,1,0.0397,0.846,0.719,0.0976,0.0337,74.525,1
5JTaece4mxAjEa7Utcyvyf,0.329,0.0603,0,-25.464,1,0.0377,0.945,0.428,0.114,0.241,148.342,1
7dvag5fPqXAWiTJNFsxS7X,0.511,0.0612,2,-22.972,1,0.0419,0.932,0.468,0.329,0.183,119.771,1
1pQSjpnF1eTXtni4pTN7Ns,0.197,0.118,7,-18.443,1,0.0441,0.967,0.566,0.0986,0.0654,118.195,1
6X6asQ7JRczBtPQXtMrzsO,0.306,0.0632,4,-25.363,0,0.0363,0.917,0.895,0.105,0.0308,101.071,1
4YBjc5fCZrFzpYYfzKI2Vv,0.406,0.255,4,-13.243,1,0.0331,0.952,0.852,0.11,0.0808,77.739,1
3LDqTboTGSoUTWyiV3Cppk,0.186,0.03,0,-25.858,1,0.0642,0.869,0.56,0.109,0.112,70.037,1
0fup4FUQCwAhEy5oB9MCEP,0.0874,0.0474,4,-23.13,0,0.0532,0.924,0.768,0.149,0.0331,72.393,1
6qBjQgRksJ4RVNgS6hqEgn,0.089,0.195,7,-18.349,1,0.0441,0.393,0.951,0.22,0.0391,86.266,1
3XFzPxjP3KCHVG09I9xVEs,0.264,0.0556,9,-23.917,1,0.0349,0.964,0.91,0.0783,0.0487,99.381,1
2l0DaEeLEcHjUFLu2bh4Cv,0.187,0.163,11,-17.649,0,0.042,0.715,0.902,0.107,0.0347,54.114,1
3Yy4HmP9jOxZitdjs1UZzs,0.219,0.0945,9,-27.024,1,0.0579,0.986,0.869,0.525,0.13,76.84,1
