tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
5P8BZ67Vw2CUwAYi12yvYj,0.286,0.14,7,-16.496,1,0.0346,0.971,0.892,0.134,0.154,119.191,0
4iKSrwTBu0vLSqmZUXSGXr,0.44,0.32,4,-12.011,0,0.0323,0.625,0.886,0.0823,0.0694,180.036,0
4A6C6K8c8IukPda2f0rI8J,0.564,0.0515,11,-15.118,0,0.0338,0.974,0.765,0.114,0.214,93.961,0
0pgh65p0D9uDSdOrmsaTgu,0.329,0.0735,9,-27.372,1,0.0383,0.692,0.815,0.0832,0.0378,112.206,0
5lZyYNi8OfFWKiX1p9zDQP,0.391,0.231,3,-17.0,0,0.0363,0.969,0.954,0.116,0.0882,107.981,0
0QurRfrHz1RGbdPpTx7lLV,0.575,0.202,8,-18.544,0,0.0444,0.937,0.441,0.103,0.142,139.943,0
7CVgHbVQmNtUVXKZOgonJK,0.609,0.157,0,-15.792,1,0.0322,0.985,0.792,0.112,0.0698,111.966,0
0rDXZpaDpGMbT8ON1DxEtT,0.526,0.385,0,-13.755,1,0.0296,0.456,0.922,0.0935,0.212,120.008,0
6phzRtzX5AMmgRVhB02Xas,0.408,0.136,1,-17.702,1,0.0319,0.869,0.906,0.243,0.108,107.105,0
157kvk58Qr04AiuDv2aQWd,0.616,0.202,11,-14.144,0,0.0383,0.71,0.678,0.0871,0.0773,139.857,0
7Ln0DgKSrDG0ALbtNwGeml,0.636,0.248,4,-17.313,0,0.0309,0.891,0.922,0.106,0.138,117.006,0
3TNNGjgOQ7O8vwAlvlD9Fg,0.382,0.333,7,-15.573,1,0.0367,0.497,0.918,0.106,0.0486,84.974,0
5QGNwI8U3o9mQg7RR3yOPj,0.238,0.191,7,-20.242,0,0.0351,0.404,0.888,0.107,0.0365,140.282,0
6w0vhPaZBYjhrDobs3QE14,0.532,0.541,0,-11.932,0,0.0283,0.974,0.864,0.228,0.329,136.063,0
0KN1zd8K3MTPQyix892mCf,0.455,0.216,3,-20.107,1,0.0363,0.931,0.921,0.0839,0.179,171.936,0
5zOetBDO9NONS4KnIBXtnx,0.572,0.571,8,-10.067,0,0.0331,0.265,0.917,0.109,0.115,96.986,0
5vymVJ2WUlLnMeQqrgwQx8,0.435,0.333,8,-15.885,1,0.0308,0.668,0.834,0.084,0.074,90.902,0
1CIIzFfELXMwLyKaGdpTul,0.162,0.0564,5,-20.696,1,0.0341,0.946,0.889,0.101,0.0361,60.01,0
6FI69Qkt6C2yBTVLC8zq34,0.134,0.0601,7,-19.866,1,0.0352,0.961,0.869,0.109,0.0388,73.855,0
3l7mCSypI6tYJvYe8dDI4f,0.669,0.155,6,-21.592,0,0.0343,0.566,0.8,0.625,0.0611,111.898,0
2No1A7ZuMaBGxz45jmA9Gw,0.0789,0.16,7,-18.144,1,0.0362,0.733,0.786,0.0943,0.0409,56.449,0
2urxHALnoeVxG82o57q0ny,0.213,0.233,4,-14.347,1,0.0289,0.742,0.881,0.149,0.0378,94.94,0
